Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Total,Currency (Total),Withholding tax,Currency (Withholding tax)
Dividend (Ordinary),2020-11-17 13:03:35,US0378331005,AAPL,Apple,1.1,0.17,USD,Not available,0.14,GBP,0.03,USD
Dividend (Ordinary),2020-12-14 20:26:15,US5949181045,MSFT,Microsoft,0.7,0.48,USD,Not available,0.25,GBP,0.06,USD
Dividend (Ordinary),2020-12-22 09:41:08,US7475251036,QCOM,Qualcomm,1.0,0.55,USD,Not available,0.41,GBP,0.1,USD
Dividend (Ordinary),2020-12-31 08:52:19,US67066G1040,NVDA,NVIDIA,0.2,0.14,USD,Not available,0.02,GBP,0.0,USD
Dividend (Ordinary),2021-01-13 14:57:43,GB00BYT1DJ19,ICG,Intermediate Capital Group,2.0,17.0,GBX,Not available,0.34,GBP,0.0,GBX
Dividend (Ordinary),2021-02-19 09:06:44,US0378331005,AAPL,Apple,1.1,0.17,USD,Not available,0.14,GBP,0.03,USD
Dividend (Ordinary),2021-02-19 09:10:49,US0378331005,AAPL,Apple,1.1,0.17,USD,Not available,0.14,GBP,0.03,USD
Dividend (Ordinary),2021-02-19 09:14:52,US0378331005,AAPL,Apple,1.1,0.17,USD,Not available,0.14,GBP,0.03,USD
Dividend (Ordinary),2021-02-19 09:18:52,US0378331005,AAPL,Apple,1.1,0.17,USD,Not available,0.14,GBP,0.03,USD
Dividend (Ordinary),2021-03-23 07:54:08,US5502411037,LUMN,Lumen Technologies,2.0,0.21,USD,Not available,0.31,GBP,0.08,USD
Dividend (Ordinary),2021-03-29 11:36:26,US7475251036,QCOM,Qualcomm,1.0,0.55,USD,Not available,0.4,GBP,0.1,USD
Dividend (Ordinary),2021-03-29 16:03:39,US5398301094,LMT,Lockheed Martin,0.25,2.21,USD,Not available,0.4,GBP,0.1,USD
Dividend (Ordinary),2021-04-08 14:09:55,FR0000120271,TTE,TotalEnergies,0.1,0.49,EUR,Not available,0.04,GBP,0.02,EUR
Dividend (Dividend),2024-05-09 10:57:22,US57636Q1040,MA,Mastercard,0.5,0.56,USD,Not available,0.22,GBP,0.05,USD
Dividend (Dividend),2024-05-10 09:49:41,GB0008782301,TW.,Taylor Wimpey,75.0,4.79,GBX,Not available,3.59,GBP,0.0,GBX
Dividend (Dividend),2024-05-10 10:01:39,US0258161092,AXP,American Express,0.1,0.6,USD,Not available,0.05,GBP,0.01,USD
Dividend (Dividend),2024-05-13 10:57:51,GB0003718474,GAW,Games Workshop,4.0,105.0,GBX,Not available,4.2,GBP,0.0,GBX
Dividend (Dividend),2024-05-15 12:25:36,IE00B4BNMY34,ACN,Accenture,0.8,0.97,USD,Not available,0.61,GBP,0.26,USD
Dividend (Dividend),2024-05-16 11:11:35,US0378331005,AAPL,Apple,1.0,0.21,USD,Not available,0.17,GBP,0.04,USD
Dividend (Dividend),2024-05-30 11:00:40,IE00B2NPKV68,SEMB,iShares J.P. Morgan USD EM Bond (Dist),3.0,33.82,GBX,Not available,1.01,GBP,0.0,GBX
Dividend (Dividend),2024-05-31 12:11:42,IE00BYXVWC37,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),25.0,0.05,GBP,Not available,1.32,GBP,0.0,GBP
Dividend (Dividend),2024-05-31 12:27:33,US55354G1004,MSCI,MSCI,2.0,1.36,USD,Not available,2.14,GBP,0.48,USD
Dividend (Dividend),2024-06-12 12:14:21,US78409V1044,SPGI,S&P Global,0.5,0.77,USD,Not available,0.3,GBP,0.07,USD
Dividend (Dividend),2024-06-13 09:32:18,US5949181045,MSFT,Microsoft,1.0,0.64,USD,Not available,0.5,GBP,0.11,USD
Dividend (Dividend),2024-06-14 12:24:13,GG00BPFJTF46,PSH,Pershing Square,1.0,11.23,GBX,Not available,0.11,GBP,0.0,GBX
Dividend (Dividend),2024-06-17 13:07:24,US02079K1079,GOOG,Alphabet (Class C),2.0,0.17,USD,Not available,0.27,GBP,0.06,USD
Dividend (Dividend),2024-06-20 09:45:58,US7475251036,QCOM,Qualcomm,1.0,0.72,USD,Not available,0.57,GBP,0.13,USD
Dividend (Dividend),2024-06-21 10:51:36,GB0005405286,HSBA,HSBC,35.0,16.49,GBX,Not available,5.77,GBP,0.0,GBX
Dividend (Dividend),2024-06-21 10:55:39,GB0005405286,HSBA,HSBC,35.0,7.85,GBX,Not available,2.75,GBP,0.0,GBX
Dividend (Dividend),2024-06-25 09:23:11,DE000A2GSU42,BKHT,Brockhaus Technologies,1.0,0.16,EUR,Not available,0.14,GBP,0.06,EUR
Dividend (Dividend),2024-06-26 12:06:56,IE00B3XXRP09,VUSA,Vanguard S&P 500 (Dist),5.0,0.2,GBP,Not available,1.02,GBP,-0.0,GBP
Dividend (Dividend),2024-06-26 12:34:06,IE00B2NPKV68,SEMB,iShares J.P. Morgan USD EM Bond (Dist),4.0,37.93,GBX,Not available,1.52,GBP,0.0,GBX
Dividend (Dividend),2024-12-31 15:15:38,IE00BYXVWC37,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),115.0,0.05,GBP,Not available,6.07,GBP,0.0,GBP
Dividend (Dividend),2024-10-08 08:14:23,US79466L3024,CRM,Salesforce,7.0,0.34,USD,Not available,1.82,GBP,0.42,USD
Dividend (Dividend),2024-10-08 08:16:37,IE0003UVYC20,JEGP,JPMorgan Global Equity Premium Income Active (Dist),50.0,12.83,GBX,Not available,6.41,GBP,0.0,GBX
Dividend (Dividend),2024-12-27 15:08:45,IE00B3XXRP09,VUSA,Vanguard S&P 500 (Dist),20.0,0.24,GBP,Not available,4.89,GBP,0.0,GBP
